,st_fips,st_year,st_state,st_stateabb,st_total,st_dem,st_rep,st_repshare,st_demshare,st_income,st_inc10k
112,17,1976,Illinois,IL,4719,2271,2364,0.5100323557853699,0.4899676442146301,21020.1875,2.1020188331604004
113,18,1976,Indiana,IN,2220,1015,1184,0.5384265780448914,0.46157345175743103,17923.548828125,1.792354941368103
114,19,1976,Iowa,IA,1279,620,633,0.5051875710487366,0.4948124587535858,18149.662109375,1.8149662017822266
115,20,1976,Kansas,KS,958,430,503,0.5391210913658142,0.4608788788318634,18510.890625,1.8510891199111938
116,21,1976,Kentucky,KY,1167,616,532,0.46341463923454285,0.5365853905677795,15033.7216796875,1.5033721923828125
117,22,1976,Louisiana,LA,1278,661,587,0.47035256028175354,0.5296474099159241,15317.7412109375,1.5317741632461548
118,23,1976,Maine,ME,483,232,236,0.504273533821106,0.49572649598121643,15723.0888671875,1.572308897972107
119,24,1976,Maryland,MD,1432,760,673,0.46964409947395325,0.5303558707237244,20783.044921875,2.0783045291900635
120,25,1976,Massachusetts,MA,2548,1429,1030,0.4188694655895233,0.5811305642127991,19296.76953125,1.9296770095825195
121,26,1976,Michigan,MI,3654,1697,1894,0.5274296998977661,0.4725703001022339,19555.970703125,1.9555970430374146
122,27,1976,Minnesota,MN,1950,1070,819,0.4335627257823944,0.5664372444152832,18524.677734375,1.8524677753448486
123,28,1976,Mississippi,MS,769,381,367,0.490641713142395,0.509358286857605,13081.43359375,1.3081433773040771
124,29,1976,Missouri,MO,1954,998,927,0.4815584421157837,0.5184415578842163,17396.873046875,1.7396873235702515
125,30,1976,Montana,MT,329,149,174,0.5386996865272522,0.4613003134727478,17071.4921875,1.7071492671966553
126,31,1976,Nebraska,NE,608,234,360,0.6060606241226196,0.39393940567970276,17749.828125,1.7749828100204468
127,32,1976,Nevada,NV,202,92,101,0.5233160853385925,0.47668394446372986,21356.599609375,2.13565993309021
